,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1,-0.560475647,-0.794477911,2.19881035,-1.77067115,-0.07355602,-0.54451915,1.07401226,0.335053026
2,-0.230177489,0.222357086,1.31241298,-1.3826472,-1.16865142,-0.08215048,-0.02734697,-1.567515902
3,1.558708314,-0.012885631,-0.26514506,-0.81126908,-0.63474826,1.5218887,-0.03333034,-0.726091653
4,0.070508391,-0.336966341,0.54319406,-1.31324643,-0.02884155,0.77355771,-1.51606762,-1.382057514
5,0.129287735,-0.932225407,-0.41433995,-0.23827636,0.67069597,-2.03230939,0.79038534,-0.582227968
6,1.715064987,0.212232023,-0.47624689,0.55977768,-1.65054654,1.19227885,-0.21073418,0.38135584
7,0.460916206,-0.715767039,-0.78860284,-1.63568114,-0.34975424,-0.62313952,-0.65674293,-0.360831467
8,-1.265061235,-1.857701122,-0.59461727,0.49739672,0.75640644,-2.66074809,-1.41202579,-2.30212056
9,-0.686852852,-0.483254448,1.65090747,0.44423946,-0.53880916,0.57039128,-0.2997625,-0.070439929
10,-0.44566197,0.852147314,-0.05402813,2.06350752,0.22729192,-0.25649941,-0.84906114,-0.092489361
11,1.224081797,-0.391734693,0.11924524,1.24393828,0.49222857,-0.48130755,-0.39703052,0.668035038
12,0.359813827,0.661936396,0.24368743,0.6398048,0.26783502,0.00724123,-1.21759999,-1.418272267
13,0.400771451,-1.557766991,1.23247588,-2.31831882,0.65325768,0.37292417,1.68758948,1.577076794
14,0.110682716,-0.038959558,-0.51606383,-0.35379607,-0.12270866,0.30131026,-0.01600253,-0.102556637
15,-0.555841135,0.436031034,-0.99250715,0.12435698,-0.41367651,-0.29376816,1.07494508,2.505657383
16,1.786913137,0.569190333,1.67569693,-0.10081062,-2.64314895,1.32685693,-2.60169967,-1.450610781
17,0.497850478,0.180353766,-0.44116322,0.10608701,-0.09294102,-0.0593088,-0.45319783,0.385735716
18,-1.966617157,-0.935698582,-0.72306597,-0.91157696,0.4302847,-0.02560508,-0.67548229,-0.956068269
19,0.701355902,-0.744500961,-1.23627312,2.27784681,0.53539884,-1.45729145,-1.22292618,-0.837455483
20,-0.472791408,-1.095047502,-1.28471572,1.52805484,-0.55527835,0.24880825,1.54660915,1.934433394
21,-1.067823706,-0.042526959,-0.57397348,0.51293754,1.77950291,-0.42074501,-1.41528192,-2.442802395
22,-0.217974915,-0.980170851,0.61798582,0.92147542,0.28642442,-0.33169114,0.31839026,-1.413098158
