dry_dirt,grass  difference
1,   89.72267,89.96339 ,-0.24071347
2,   93.42201,93.16728  ,0.25473377
3,  113.45753,110.51947  ,2.93806247
4,   96.78969,96.08393  ,0.70576259
5,   97.44802,96.65409  ,0.79393160
6,  115.20873,112.03613  ,3.17259748
7,  101.16226,99.87089  ,1.29137431
8,   81.83131,83.12891 ,-1.29759185
9,   88.30725,88.73753 ,-0.43027928
10,  91.00859,91.07708 ,-0.06849296
11, 109.70972,107.27359  ,2.43612270
12, 100.02991,98.89019  ,1.13972074
13, 100.48864,99.28748  ,1.20115718
14,  97.23965,96.47362  ,0.76602407
15,  89.77458,90.00834 ,-0.23376170
