Sample_Size,Sample_Mean
1,100   ,10.452030
2,100    ,9.462266
3,100   ,10.602326
4,100    ,9.818885
5,100   ,10.529255
6,100    ,9.788500
7,100    ,9.251779
8,100   ,10.529368
9,100   ,10.467949
10,100    ,9.904036
11,100   ,10.599703
12,100    ,9.904122
13,100    ,9.987304
14,100    ,9.698944
15,100   ,10.464946
16,100   ,10.177435
17,100   ,10.445170
18,100   ,10.155274
19,100   ,10.325921
20,100   ,10.364444
21,100    ,9.407857
22,100    ,9.335631
23,100    ,9.480620
24,100   ,10.365152
25,100    ,9.809703
26,100   ,10.530438
27,100    ,9.425007
28,100    ,9.924026
29,100   ,10.237737
30,100   ,10.478203
31,100    ,9.730540
32,100    ,9.228395
33,100   ,10.193980
34,100   ,10.255719
35,100   ,10.026111
36,100   ,10.339787
37,100    ,9.911815
38,100    ,8.750410
39,100   ,10.362470
40,100   ,10.742755
41,100    ,9.584992
42,100    ,9.789124
43,100    ,9.938637
44,100    ,9.793664
45,100    ,9.722719
46,100   ,10.308696
47,100   ,10.298616
48,100    ,9.664933
49,100    ,9.733397
50,100    ,9.556813
51,100   ,10.340155
52,100   ,10.177824
53,100    ,9.608963
54,100    ,9.823400
55,100   ,10.501184
56,100   ,10.405431
57,100    ,9.885130
58,100   ,10.068902
59,100   ,10.182908
60,100   ,10.730055
61,100   ,10.257458
62,100    ,8.810382
63,100   ,10.405760
64,100    ,9.155037
65,100   ,10.555665
66,100   ,10.772375
67,100    ,9.538460
68,100    ,9.182056
69,100   ,10.234327
70,100    ,9.443304
71,100   ,10.253352
72,100    ,9.753541
73,100   ,10.814650
74,100    ,9.973818
75,100   ,10.536544
76,100    ,9.267353
77,100   ,10.477669
78,100    ,9.804319
79,100   ,10.274492
80,100    ,9.117304
81,100    ,9.770064
82,100    ,9.972957
83,100   ,10.641993
84,100   ,10.774135
85,100   ,10.079314
86,100   ,10.406442
87,100    ,9.757351
88,100   ,10.120888
89,100   ,10.547687
90,100    ,8.925983
91,100   ,10.034872
92,100    ,9.692353
93,100    ,9.708483
94,100    ,9.539397
95,100   ,10.277989
96,100    ,9.687408
97,100    ,9.948120
98,100    ,9.544683
99,100    ,9.347196
100,100    ,9.827417
101,100   ,10.051639
102,100    ,9.802262
103,100   ,11.034751
104,100   ,10.111379
105,100   ,10.043080
106,100   ,10.706822
107,100    ,9.609291
108,100    ,9.951392
109,100   ,10.455468
110,100    ,9.538873
111,100   ,10.065677
112,100   ,10.462174
113,100   ,10.518777
114,100   ,10.311832
115,100    ,9.989248
116,100   ,10.224277
117,100    ,9.576573
118,100    ,9.631415
119,100    ,9.771508
120,100   ,10.695003
121,100    ,9.616625
122,100    ,9.925153
123,100    ,9.912036
124,100    ,9.228450
125,100    ,9.403273
126,100    ,9.885418
127,100   ,10.051870
128,100   ,10.135848
129,100    ,9.133899
130,100    ,9.554945
131,100   ,11.023557
132,100   ,10.575769
133,100    ,9.780690
134,100   ,10.489954
135,100    ,9.703267
136,100   ,10.084010
137,100    ,9.971087
138,100    ,9.739236
139,100   ,10.385357
140,100   ,10.024084
141,100   ,10.694568
142,100    ,9.775853
143,100    ,9.916111
144,100   ,10.391952
145,100   ,10.001449
146,100   ,10.264197
147,100    ,9.474127
148,100    ,9.858131
149,100    ,9.984146
150,100   ,10.506217
151,100    ,9.682426
152,100   ,10.889598
153,100   ,10.398270
154,100   ,10.214179
155,100   ,10.338970
156,100   ,10.046512
157,100    ,9.403946
158,100    ,9.391471
159,100   ,10.086598
160,100    ,9.731110
161,100    ,9.925817
162,100   ,10.082842
163,100    ,9.345011
164,100    ,9.341202
165,100   ,10.052656
166,100   ,10.236656
167,100    ,9.683715
168,100    ,9.379442
169,100    ,9.871425
170,100    ,9.502097
171,100    ,9.563774
172,100   ,10.314202
173,100    ,9.820546
174,100    ,9.364618
175,100    ,9.903120
176,100   ,10.097616
177,100   ,10.104533
178,100   ,10.519051
179,100    ,9.661470
180,100    ,9.906495
181,100    ,9.716211
182,100   ,10.158261
183,100    ,9.563176
184,100    ,9.992689
185,100    ,9.670506
186,100    ,9.914106
187,100    ,9.763480
188,100    ,8.893682
189,100   ,10.966826
190,100    ,9.986653
191,100   ,10.439611
192,100   ,10.011192
193,100    ,9.244970
194,100   ,10.221202
195,100    ,9.879335
196,100    ,9.662921
197,100    ,9.601235
198,100    ,9.961131
199,100    ,9.932467
200,100    ,8.965032
201,100   ,10.054890
202,100    ,9.040717
203,100    ,9.415615
204,100   ,10.954631
205,100   ,11.129188
206,100    ,8.767245
207,100    ,9.691828
208,100   ,10.682562
209,100    ,9.567014
210,100    ,9.743516
211,100   ,10.630086
212,100    ,9.654490
213,100    ,8.803221
214,100   ,10.621792
215,100   ,10.658286
216,100   ,10.042363
217,100   ,10.183746
218,100   ,10.413404
219,100    ,9.789539
220,100    ,9.227768
221,100    ,9.531014
222,100    ,9.774674
223,100    ,9.634909
224,100   ,10.517509
225,100    ,9.578328
226,100   ,10.444643
227,100   ,10.339822
228,100    ,9.141151
229,100    ,9.915722
230,100   ,10.249343
231,100    ,8.967702
232,100   ,10.316378
233,100   ,10.145368
234,100   ,10.633734
235,100    ,9.841042
236,100   ,10.060271
237,100   ,10.334855
238,100   ,10.068892
239,100   ,10.441290
240,100   ,10.259558
241,100   ,10.397628
242,100   ,10.173832
243,100    ,9.084713
244,100    ,9.652047
245,100    ,9.981600
246,100    ,9.692673
247,100   ,10.091500
248,100   ,10.521336
249,100    ,9.337413
250,100    ,9.394016
251,100   ,10.578552
252,100   ,10.534115
253,100    ,9.920824
254,100    ,9.852632
255,100    ,9.893754
256,100    ,9.566541
257,100    ,9.095702
258,100    ,9.960466
259,100    ,9.894822
260,100    ,9.723036
261,100    ,9.887763
262,100    ,9.454932
263,100    ,9.473695
264,100    ,9.554206
265,100    ,9.585666
266,100    ,9.730491
267,100    ,9.959888
268,100   ,10.038970
269,100   ,10.020933
270,100   ,10.545539
271,100    ,9.353919
272,100   ,10.243235
273,100   ,10.089047
274,100    ,9.372845
275,100    ,9.786339
276,100    ,9.852205
277,100   ,10.660773
278,100   ,10.039836
279,100   ,10.156303
280,100   ,10.498917
281,100   ,10.287662
282,100   ,10.318702
283,100   ,10.029880
284,100   ,10.263669
285,100   ,10.149622
286,100    ,9.170547
287,100    ,9.756476
288,100    ,9.790861
289,100   ,10.075475
290,100   ,10.337053
291,100    ,9.597612
292,100    ,9.591556
293,100   ,10.454710
294,100   ,10.195381
295,100    ,9.559871
296,100   ,10.078710
297,100   ,10.362393
298,100   ,10.507290
299,100   ,10.305504
300,100   ,10.696513
301,100   ,10.580215
302,100   ,10.916126
303,100    ,9.301436
304,100    ,9.987572
305,100   ,10.077874
306,100    ,9.606152
307,100   ,10.053582
308,100    ,9.748362
309,100    ,9.931634
310,100    ,9.671692
311,100   ,10.183833
312,100   ,10.177848
313,100    ,9.678257
314,100   ,10.188327
315,100    ,9.922238
316,100    ,9.792995
317,100    ,9.887864
318,100   ,10.734046
319,100   ,10.038880
320,100    ,9.680174
321,100    ,9.486233
322,100    ,9.922390
323,100   ,10.653352
324,100    ,9.660712
325,100    ,9.881421
326,100    ,9.959076
327,100   ,10.095276
328,100   ,10.501368
329,100    ,9.841173
330,100    ,9.851797
331,100   ,10.102815
332,100   ,10.362916
333,100   ,10.193841
334,100    ,9.796673
335,100   ,10.780817
336,100    ,9.572264
337,100    ,9.885585
338,100    ,9.824971
339,100   ,10.512161
340,100    ,9.777308
341,100   ,10.167627
342,100    ,9.877589
343,100    ,9.906958
344,100   ,10.661016
345,100   ,10.385461
346,100   ,10.297340
347,100    ,9.628274
348,100    ,9.482017
349,100    ,9.824259
350,100   ,10.414175
351,100    ,9.758997
352,100   ,10.406609
353,100    ,9.432772
354,100    ,9.630818
355,100    ,9.372399
356,100    ,9.968543
357,100    ,9.728922
358,100    ,9.198943
359,100    ,9.802849
360,100    ,9.617890
361,100    ,9.118460
362,100    ,9.834031
363,100   ,10.085249
364,100   ,10.433554
365,100   ,10.263060
366,100    ,9.795443
367,100    ,9.829742
368,100    ,9.870928
369,100   ,10.084876
370,100   ,10.108255
371,100    ,9.971229
372,100   ,10.054774
373,100    ,9.540329
374,100    ,9.609481
375,100   ,10.897766
376,100    ,9.987460
377,100    ,9.959737
378,100   ,10.055456
379,100    ,9.947387
380,100   ,10.111461
381,100   ,10.121786
382,100    ,9.098474
383,100    ,9.779752
384,100   ,10.358288
385,100    ,9.729804
386,100   ,10.479209
387,100   ,10.310958
388,100   ,10.146109
389,100    ,9.988698
390,100    ,9.515322
391,100   ,10.500581
