Sample_Size,Sample_Mean
1,100   ,10.376793
2,100   ,10.410157
3,100    ,9.931011
4,100   ,10.910078
5,100    ,9.737306
6,100   ,10.947330
7,100    ,9.905631
8,100   ,10.895389
9,100    ,9.913942
10,100    ,9.189416
11,100   ,10.007539
12,100   ,10.197614
13,100   ,10.594889
14,100    ,9.801726
15,100    ,9.660646
16,100    ,9.842789
17,100   ,10.349832
18,100   ,10.138011
19,100    ,9.911747
20,100    ,9.662801
21,100    ,9.835351
22,100   ,10.386745
23,100   ,10.393423
24,100   ,11.094653
25,100   ,10.139965
26,100    ,8.934835
27,100   ,10.016404
28,100    ,9.769693
29,100    ,9.826003
30,100    ,9.585061
31,100   ,10.562296
32,100   ,10.372204
33,100    ,9.535776
34,100   ,10.743361
35,100   ,10.152774
36,100   ,11.133306
37,100   ,10.155711
38,100   ,10.600808
39,100   ,10.263163
40,100    ,9.942307
41,100   ,11.043595
42,100   ,10.046703
43,100   ,10.698496
44,100   ,10.927377
45,100   ,10.354519
46,100   ,10.819962
47,100   ,10.018728
48,100    ,9.822304
49,100   ,10.019812
50,100   ,10.438258
51,100   ,10.172234
52,100   ,10.095114
53,100   ,10.869256
54,100    ,9.130953
55,100   ,10.044109
56,100   ,10.260692
57,100   ,10.660862
58,100    ,9.453243
59,100    ,9.824423
60,100   ,10.451580
61,100    ,9.764537
62,100   ,10.025623
63,100    ,9.519128
64,100   ,10.370277
65,100   ,10.695113
66,100    ,9.929272
67,100   ,10.632199
68,100   ,11.203267
69,100   ,10.459479
70,100   ,10.165670
71,100   ,10.120590
72,100   ,10.384108
73,100   ,10.258807
74,100   ,10.149710
75,100    ,9.635547
76,100    ,9.487547
77,100   ,10.553087
78,100   ,10.547726
79,100   ,10.807036
80,100   ,10.475490
81,100    ,9.910514
82,100   ,10.331936
83,100   ,10.013686
84,100    ,9.915635
85,100    ,9.648783
86,100   ,10.552829
87,100   ,10.043153
88,100   ,10.353101
89,100    ,9.586648
90,100   ,10.597844
91,100    ,9.717576
92,100   ,10.633462
93,100   ,10.547206
94,100    ,9.745623
95,100    ,9.890895
96,100   ,10.790248
97,100    ,9.529975
98,100   ,10.407428
99,100    ,9.338874
100,100   ,10.619546
101,100    ,9.938740
102,100   ,10.196773
103,100    ,9.734056
104,100   ,10.772128
105,100    ,9.443869
106,100   ,10.041603
107,100    ,9.710481
108,100   ,10.027876
109,100   ,10.406215
110,100   ,10.672841
111,100   ,10.031538
112,100   ,10.053158
113,100   ,10.240903
114,100   ,10.946787
115,100   ,10.146878
116,100    ,9.818138
117,100   ,10.954055
118,100   ,10.255683
119,100    ,9.735287
120,100   ,10.388675
121,100    ,9.728750
122,100   ,10.043859
123,100   ,10.432982
124,100   ,10.573741
125,100   ,10.257922
126,100   ,10.603389
127,100   ,10.530121
128,100   ,10.241320
129,100   ,10.234176
130,100    ,9.927470
131,100   ,11.406595
132,100    ,9.934305
133,100    ,9.733715
134,100   ,10.441911
135,100    ,9.584984
136,100   ,10.928901
137,100   ,10.220174
138,100   ,10.583777
139,100   ,10.175258
140,100   ,10.936718
141,100   ,11.113295
142,100    ,9.777383
143,100   ,11.325436
144,100    ,9.578974
145,100    ,8.470590
146,100   ,11.227121
147,100   ,10.510547
148,100    ,9.772245
149,100   ,11.093189
150,100   ,10.454438
151,100    ,9.103386
152,100   ,10.844408
153,100    ,9.945208
154,100    ,9.909793
155,100    ,9.698079
156,100    ,9.964332
157,100   ,11.142332
158,100   ,10.207310
159,100   ,10.155230
160,100   ,10.004682
161,100   ,10.018527
162,100   ,10.130539
163,100   ,10.773307
164,100   ,10.828384
165,100   ,10.000391
166,100   ,10.455202
167,100   ,10.313632
168,100   ,10.728109
169,100   ,10.258320
170,100    ,9.576640
171,100   ,10.141199
172,100   ,10.999292
173,100    ,8.952706
174,100    ,9.402802
175,100    ,9.985415
176,100   ,10.664808
177,100   ,10.567706
178,100   ,10.783329
179,100    ,9.745884
180,100    ,9.616630
181,100   ,10.924050
182,100   ,10.839223
183,100   ,10.527695
184,100   ,10.078206
185,100   ,10.389775
186,100   ,10.388876
187,100    ,9.132350
188,100   ,10.703234
189,100   ,10.247757
190,100   ,10.375445
191,100    ,9.896987
192,100   ,10.570466
193,100   ,10.205175
194,100   ,10.657011
195,100   ,10.368940
196,100    ,9.877904
197,100   ,10.883508
198,100   ,10.048419
199,100   ,10.541744
200,100   ,10.324783
201,100    ,9.327757
202,100   ,10.262122
203,100   ,11.348880
204,100    ,9.269247
205,100   ,10.459941
206,100   ,10.264662
207,100    ,9.512163
208,100    ,9.852111
209,100    ,9.769555
210,100   ,10.121114
211,100   ,10.760424
212,100   ,10.891672
213,100   ,10.439145
214,100    ,9.733979
215,100   ,10.345461
216,100    ,9.990899
217,100   ,10.618664
218,100   ,10.855592
219,100   ,10.008329
220,100   ,10.850030
221,100   ,10.229914
222,100    ,9.800633
223,100   ,10.218431
224,100    ,9.650121
225,100   ,10.987455
226,100   ,10.506060
227,100    ,9.136891
228,100    ,9.439917
229,100   ,10.394735
