spending voteshare
1, 3.919762 ,0.4646546
2, 4.084911 ,0.4437449
3, 4.979354 ,0.5352565
4, 4.235254 ,0.4634236
5, 4.264644 ,0.4711466
6, 5.057532 ,0.4590032
7, 4.430458 ,0.4643166
8, 3.567469 ,0.4312305
9, 3.856574 ,0.4387541
10,3.977169 ,0.4577709
11,4.812041 ,0.4841702
12,4.379907 ,0.4785649
13,4.400386 ,0.4739427
14,4.255341 ,0.4770636
15,3.922079 ,0.4269012
16,5.093457 ,0.5180872
17,4.448925 ,0.5055543
18,3.216691 ,0.4356886
19,4.550678 ,0.4463037
20,3.963604 ,0.4718209
21,3.666088 ,0.4447089
22,4.091013 ,0.4773624
23,3.686998 ,0.4095372
24,3.835554 ,0.4554579
25,3.887480 ,0.4339105
26,3.356653 ,0.4250813
27,4.618894 ,0.4441464
28,4.276687 ,0.4750676
29,3.630932 ,0.4493672
30,4.826907 ,0.4992581
31,4.413232 ,0.4721933
32,4.052464 ,0.5006251
33,4.647563 ,0.4644935
34,4.639067 ,0.4972678
35,4.610791 ,0.5117237
36,4.544320 ,0.4998657
37,4.476959 ,0.4688196
38,4.169044 ,0.4363131
39,4.047019 ,0.4760520
40,4.009764 ,0.4159347
41,3.852647 ,0.4458076
42,4.096041 ,0.4414186
43,3.567302 ,0.4478230
44,5.284478 ,0.4856113
